dimension;method;time;cost;boundary_set_size
5;heuristic_grid_remaining_colors;0;9;64
5;heuristic_border_colors;0;9;238
5;heuristic_cells_pending_per_color_remaining;0;9;638
5;heuristic_grid_remaining_colors;0;9;84
5;heuristic_border_colors;0;9;245
5;heuristic_cells_pending_per_color_remaining;0;9;368
5;heuristic_grid_remaining_colors;0;7;17
5;heuristic_border_colors;0;7;71
5;heuristic_cells_pending_per_color_remaining;0;8;162
5;heuristic_grid_remaining_colors;0;8;36
5;heuristic_border_colors;0;8;116
5;heuristic_cells_pending_per_color_remaining;0;9;294
5;heuristic_grid_remaining_colors;0;7;24
5;heuristic_border_colors;0;7;63
5;heuristic_cells_pending_per_color_remaining;0;7;189
5;heuristic_grid_remaining_colors;0;9;74
5;heuristic_border_colors;0;9;241
5;heuristic_cells_pending_per_color_remaining;0;9;465
5;heuristic_grid_remaining_colors;0;8;19
5;heuristic_border_colors;0;8;110
5;heuristic_cells_pending_per_color_remaining;0;9;288
5;heuristic_grid_remaining_colors;0;7;10
5;heuristic_border_colors;0;7;68
5;heuristic_cells_pending_per_color_remaining;0;7;121
5;heuristic_grid_remaining_colors;0;8;32
5;heuristic_border_colors;0;8;82
5;heuristic_cells_pending_per_color_remaining;0;8;196
5;heuristic_grid_remaining_colors;0;9;48
5;heuristic_border_colors;0;9;167
5;heuristic_cells_pending_per_color_remaining;0;9;249
