dimension;method;time;cost;boundary_set_size;exploded_nodes
9;heuristic_grid_remaining_colors;0;13;2938;1471
9;heuristic_border_colors;0;13;13843;9183
9;heuristic_cells_pending_per_color_remaining;0;14;988;479
9;heuristic_grid_remaining_colors;0;14;6559;3531
9;heuristic_border_colors;0;14;26836;19744
9;heuristic_cells_pending_per_color_remaining;0;15;488;244
9;heuristic_grid_remaining_colors;0;15;24755;15517
9;heuristic_border_colors;0;15;74761;59569
9;heuristic_cells_pending_per_color_remaining;0;17;24602;14775
9;heuristic_grid_remaining_colors;0;12;2020;952
9;heuristic_border_colors;0;12;9435;5991
9;heuristic_cells_pending_per_color_remaining;0;14;1304;1091
9;heuristic_grid_remaining_colors;0;12;2161;1201
9;heuristic_border_colors;0;12;10018;7204
9;heuristic_cells_pending_per_color_remaining;0;13;285;196
9;heuristic_grid_remaining_colors;0;15;30962;17828
9;heuristic_border_colors;0;15;101254;80901
9;heuristic_cells_pending_per_color_remaining;0;16;40760;25305
9;heuristic_grid_remaining_colors;0;14;8896;5173
9;heuristic_border_colors;0;14;29397;23337
9;heuristic_cells_pending_per_color_remaining;0;15;1596;926
9;heuristic_grid_remaining_colors;0;14;2122;1202
9;heuristic_border_colors;0;14;11381;7295
9;heuristic_cells_pending_per_color_remaining;0;15;384;371
9;heuristic_grid_remaining_colors;0;12;2111;1058
9;heuristic_border_colors;0;12;9838;6774
9;heuristic_cells_pending_per_color_remaining;0;13;166;88
9;heuristic_grid_remaining_colors;0;14;6979;4055
9;heuristic_border_colors;0;14;29233;21447
9;heuristic_cells_pending_per_color_remaining;0;16;18498;13138
