dimension;method;time;cost;boundary_set_size;exploded_nodes
5;A*;0;9;42;69
5;dfs;0;11;19;12
5;bfs;0;9;148;774
5;greedy;0;9;19;15
5;A*;0;9;71;79
5;dfs;0;10;20;11
5;bfs;0;9;559;2298
5;greedy;0;9;47;25
5;A*;0;9;107;92
5;dfs;0;12;26;13
5;bfs;0;9;216;1408
5;greedy;0;9;23;15
5;A*;0;9;55;81
5;dfs;0;11;24;12
5;bfs;0;9;46;719
5;greedy;0;9;25;13
5;A*;0;8;31;52
5;dfs;0;10;16;11
5;bfs;0;8;21;380
5;greedy;0;8;14;10
5;A*;0;7;4;18
5;dfs;0;8;8;9
5;bfs;0;7;5;54
5;greedy;0;7;8;8
5;A*;0;8;15;14
5;dfs;0;12;17;13
5;bfs;0;8;309;499
5;greedy;0;8;15;11
5;A*;0;8;10;20
5;dfs;0;11;14;12
5;bfs;0;8;46;146
5;greedy;0;8;11;11
5;A*;0;9;50;50
5;dfs;0;12;23;13
5;bfs;0;9;525;1756
5;greedy;0;9;31;20
5;A*;0;8;14;21
5;dfs;0;9;16;10
5;bfs;0;8;60;697
5;greedy;0;8;18;13
