dimension;method;time;cost;boundary_set_size;exploded_nodes
5;heuristic_border_colors;0.005533816001843661;9;166;110
5;heuristic_border_colors;0.005363354001019616;9;166;110
5;heuristic_border_colors;0.00550744900101563;9;166;110
5;heuristic_border_colors;0.005373171999963233;9;166;110
5;heuristic_border_colors;0.005463468998641474;9;166;110
5;heuristic_border_colors;0.005832989998452831;9;166;110
5;heuristic_border_colors;0.005682221999450121;9;166;110
5;heuristic_border_colors;0.006225083998288028;9;166;110
5;heuristic_border_colors;0.005408288998296484;9;166;110
5;heuristic_border_colors;0.005696107000403572;9;166;110
5;heuristic_grid_remaining_colors;0.0013227939998614602;9;31;23
5;heuristic_grid_remaining_colors;0.0019996120026917197;9;31;23
5;heuristic_grid_remaining_colors;0.0013324760002433322;9;31;23
5;heuristic_grid_remaining_colors;0.0013085079990560189;9;31;23
5;heuristic_grid_remaining_colors;0.0012295810010982677;9;31;23
5;heuristic_grid_remaining_colors;0.001256375002412824;9;31;23
5;heuristic_grid_remaining_colors;0.0013023350002185907;9;31;23
5;heuristic_grid_remaining_colors;0.0012690859985013958;9;31;23
5;heuristic_grid_remaining_colors;0.0012181570018583443;9;31;23
5;heuristic_grid_remaining_colors;0.0011688160011544824;9;31;23
5;heuristic_cells_pending_per_color_remaining;0.06675407999864547;11;206;1240
5;heuristic_cells_pending_per_color_remaining;0.06767822500114562;11;206;1240
5;heuristic_cells_pending_per_color_remaining;0.06745722299820045;11;206;1240
5;heuristic_cells_pending_per_color_remaining;0.06668289200024446;11;206;1240
5;heuristic_cells_pending_per_color_remaining;0.06521738800074672;11;206;1240
5;heuristic_cells_pending_per_color_remaining;0.06527267799901892;11;206;1240
5;heuristic_cells_pending_per_color_remaining;0.06764581999959773;11;206;1240
5;heuristic_cells_pending_per_color_remaining;0.07341797200206202;11;206;1240
5;heuristic_cells_pending_per_color_remaining;0.06510942599925329;11;206;1240
5;heuristic_cells_pending_per_color_remaining;0.0669652770011453;11;206;1240
6;heuristic_border_colors;0.04091288200288545;10;821;654
6;heuristic_border_colors;0.04029653000179678;10;821;654
6;heuristic_border_colors;0.04119780600012746;10;821;654
6;heuristic_border_colors;0.0414619559996936;10;821;654
6;heuristic_border_colors;0.041552265000063926;10;821;654
6;heuristic_border_colors;0.04318680199867231;10;821;654
6;heuristic_border_colors;0.04079857900069328;10;821;654
6;heuristic_border_colors;0.04119345100116334;10;821;654
6;heuristic_border_colors;0.039455094000004465;10;821;654
6;heuristic_border_colors;0.0416458750005404;10;821;654
6;heuristic_grid_remaining_colors;0.008555908996640937;10;182;116
6;heuristic_grid_remaining_colors;0.008784810997894965;10;182;116
6;heuristic_grid_remaining_colors;0.008821769999485696;10;182;116
6;heuristic_grid_remaining_colors;0.008521700998244341;10;182;116
6;heuristic_grid_remaining_colors;0.00910697599829291;10;182;116
