dimension;method;time;cost;boundary_set_size;exploded_nodes
9;heuristic_border_colors;1.7213154019991634;13;18840;13744
9;heuristic_border_colors;1.7841444949990546;13;18840;13744
9;heuristic_border_colors;1.7636672480002744;13;18840;13744
9;heuristic_border_colors;1.8488092429979588;13;18840;13744
9;heuristic_border_colors;1.8924755600019125;13;18840;13744
9;heuristic_border_colors;1.9746094560032361;13;18840;13744
9;heuristic_border_colors;1.6626803789986297;13;18840;13744
9;heuristic_border_colors;1.6346584720013198;13;18840;13744
9;heuristic_border_colors;1.646388688001025;13;18840;13744
9;heuristic_border_colors;1.6543948809994617;13;18840;13744
9;heuristic_grid_remaining_colors;0.3812270399976114;13;4892;2474
9;heuristic_grid_remaining_colors;0.37588041900016833;13;4892;2474
9;heuristic_grid_remaining_colors;0.37328837200038834;13;4892;2474
9;heuristic_grid_remaining_colors;0.374642593000317;13;4892;2474
9;heuristic_grid_remaining_colors;0.37539168399962364;13;4892;2474
9;heuristic_grid_remaining_colors;0.3792262289971404;13;4892;2474
9;heuristic_grid_remaining_colors;0.37595107600282063;13;4892;2474
9;heuristic_grid_remaining_colors;0.37965858899769955;13;4892;2474
9;heuristic_grid_remaining_colors;0.37894188899736037;13;4892;2474
9;heuristic_grid_remaining_colors;0.38391283600140014;13;4892;2474
9;heuristic_cells_pending_per_color_remaining;0.1935568789995159;15;2302;1403
9;heuristic_cells_pending_per_color_remaining;0.20091689200125984;15;2302;1403
9;heuristic_cells_pending_per_color_remaining;0.19633717000033357;15;2302;1403
9;heuristic_cells_pending_per_color_remaining;0.19609919099821127;15;2302;1403
9;heuristic_cells_pending_per_color_remaining;0.20800827800121624;15;2302;1403
9;heuristic_cells_pending_per_color_remaining;0.21421095299956505;15;2302;1403
9;heuristic_cells_pending_per_color_remaining;0.2131403550010873;15;2302;1403
9;heuristic_cells_pending_per_color_remaining;0.21121202699941932;15;2302;1403
9;heuristic_cells_pending_per_color_remaining;0.20151284099847544;15;2302;1403
9;heuristic_cells_pending_per_color_remaining;0.19695490100275492;15;2302;1403
