dimension;method;time;cost;boundary_set_size;exploded_nodes
5;dfs;0.0004204079996270593;9;13;10
5;dfs;0.00037743400025647134;9;13;10
5;dfs;0.00037535299998125993;9;13;10
5;dfs;0.0003796799974224996;9;13;10
5;dfs;0.00046428400310105644;9;13;10
5;greedy;0.0009835100026975852;9;23;16
5;greedy;0.0008510439984092955;9;23;16
5;greedy;0.000815709001471987;9;23;16
5;greedy;0.0008409179972659331;9;23;16
5;greedy;0.0008283699971798342;9;23;16
5;A*;0.002682161000848282;9;53;53
5;A*;0.002663641000253847;9;53;53
5;A*;0.0026417670014780015;9;53;53
5;A*;0.002781081999273738;9;53;53
5;A*;0.0030387050028366502;9;53;53
5;bfs;0.04935884899896337;9;298;998
5;bfs;0.049011697999958415;9;298;998
5;bfs;0.049488098000438185;9;298;998
5;bfs;0.048608180000883294;9;298;998
5;bfs;0.04832651800097665;9;298;998
6;dfs;0.0009757170009834226;17;39;18
6;dfs;0.0008794189998297952;17;39;18
6;dfs;0.0009421739996469114;17;39;18
6;dfs;0.0009206260001519695;17;39;18
6;dfs;0.0011079729993070941;17;39;18
6;greedy;0.002681104000657797;12;66;37
6;greedy;0.002463757999066729;12;66;37
6;greedy;0.0026649499995983206;12;66;37
6;greedy;0.0024752850004006177;12;66;37
6;greedy;0.0022052280000934843;12;66;37
6;A*;0.017727502003253903;11;346;243
6;A*;0.01706602699778159;11;346;243
6;A*;0.01808175399855827;11;346;243
6;A*;0.017384236998623237;11;346;243
6;A*;0.016901623999729054;11;346;243
6;bfs;0.6156204600010824;11;3148;9994
6;bfs;0.6072247699994477;11;3148;9994
6;bfs;0.6344260010009748;11;3148;9994
6;bfs;0.6174626690008154;11;3148;9994
6;bfs;0.614236429999437;11;3148;9994
7;dfs;0.00117794700054219;15;38;16
7;dfs;0.0011280979997536633;15;38;16
7;dfs;0.0012011469989374746;15;38;16
7;dfs;0.0011002930004906375;15;38;16
7;dfs;0.0010922019973804709;15;38;16
7;greedy;0.002499713998986408;10;59;27
7;greedy;0.0027131809983984567;10;59;27
7;greedy;0.002897337999456795;10;59;27
7;greedy;0.0025749939995876048;10;59;27
7;greedy;0.00262737099910737;10;59;27
7;A*;0.02739309499884257;10;388;310
7;A*;0.02786945999832824;10;388;310
7;A*;0.0274381640010688;10;388;310
7;A*;0.027419333997386275;10;388;310
7;A*;0.028853199997683987;10;388;310
7;bfs;0.9679334719985491;10;3598;11704
7;bfs;0.9332750009998563;10;3598;11704
7;bfs;0.9320640709993313;10;3598;11704
7;bfs;0.9400523620024615;10;3598;11704
7;bfs;0.9575451359996805;10;3598;11704
7;dfs;0.001184046999696875;21;40;22
7;dfs;0.0012648159972741269;21;40;22
