metodo_seleccion,metodo_mutacion,cantidad_iteraciones_promedio,cantidad_iteraciones_desvio,aptitud_max_promedio,aptitud_max_desvio
deterministic_tournament,mutation_limited_multigen,166.7,72.07565469699183,420.6670305851603,7.804092692138661
deterministic_tournament,mutation_uniform_gen,739.1,824.3062335483498,411.62904213579196,9.03188171450456
deterministic_tournament,complete_mutation,160.9,125.84156705953721,417.3877356930233,6.371803197156473
elite,mutation_limited_multigen,100,0.0,441.5660964562352,0.10262385797601727
elite,mutation_uniform_gen,100,0.0,439.99059138226283,0.3652231179998086
elite,complete_mutation,100,0.0,441.5169692994513,0.29922628152291264
probabilistic_tournament,mutation_limited_multigen,200.4,120.23329174752077,420.19685437850063,8.694493167076551
probabilistic_tournament,mutation_uniform_gen,566.6,431.41297564579065,410.1720388113449,11.053604187159355
probabilistic_tournament,complete_mutation,153.5,86.54895852765776,419.3541488852172,8.897302252538172
roulette,mutation_limited_multigen,100,0.0,427.8870344789934,5.201533306613614
roulette,mutation_uniform_gen,112.5,23.889793264535008,425.4111357049863,6.43129836169828
roulette,complete_mutation,100,0.0,433.9494784139202,2.952572632276886
